Owner,Position,Player,Round,Draft Slot
David,WR,Davante Adams,2.0,12.0
David,WR,Tyreek Hill,1.0,12.0
David,WR,DJ Moore,3.0,12.0
Eric,DEF,Baltimore Ravens,10.0,1.0
Eric,K,Younghoe Koo,13.0,1.0
Eric,QB,Tom Brady,6.0,8.0
Eric,RB,Todd Gurley,2.0,1.0
Eric,RB,Mike Davis,,
Eric,RB,Brian Hill,,
Eric,RB,Saquon Barkley,1.0,1.0
Eric,RB,J.K. Dobbins,7.0,1.0
Eric,RB,Mark Ingram,3.0,6.0
Eric,TE,Taysom Hill,,
Eric,TE,Mark Andrews,4.0,1.0
Eric,WR,Cole Beasley,,
Eric,WR,Mike Evans,3.0,1.0
Eric,WR,Jamison Crowder,12.0,1.0
Eric,WR,Hollywood Brown,6.0,1.0
Eric,WR,CeeDee Lamb,9.0,1.0
Greg,DEF,Indianapolis Colts,11.0,10.0
Greg,K,Robbie Gould,12.0,10.0
Greg,QB,Russell Wilson,4.0,10.0
Greg,QB,Philip Rivers,13.0,3.0
Greg,RB,J.D. McKissic,,
Greg,RB,Joe Mixon,1.0,10.0
Greg,RB,Aaron Jones,4.0,11.0
Greg,RB,Austin Ekeler,6.0,10.0
Greg,RB,Gus Edwards,,
Greg,RB,Jeff Wilson,,
Greg,TE,Hunter Henry,9.0,10.0
Greg,TE,Dalton Schultz,,
Greg,WR,DeAndre Hopkins,2.0,10.0
Greg,WR,Keenan Allen,5.0,10.0
Greg,WR,Nelson Agholor,,
Greg,WR,A.J. Brown,3.0,10.0
Jono,DEF,Arizona Cardinals,,
Jono,DEF,New Orleans Saints,13.0,8.0
Jono,K,Daniel Carlson,,
Jono,QB,Ryan Tannehill,,
Jono,QB,Drew Brees,5.0,7.0
Jono,QB,Dak Prescott,5.0,1.0
Jono,RB,Melvin Gordon,2.0,2.0
Jono,RB,Derrick Henry,3.0,7.0
Jono,RB,Nick Chubb,1.0,7.0
Jono,RB,Damien Harris,9.0,7.0
Jono,TE,Logan Thomas,,
Jono,TE,Rob Gronkowski,7.0,9.0
Jono,WR,Marvin Jones,8.0,6.0
Jono,WR,Robert Woods,4.0,7.0
Jono,WR,Julio Jones,2.0,11.0
Justin,DEF,Pittsburgh Steelers,11.0,2.0
Justin,K,Harrison Butker,12.0,8.0
Justin,QB,Patrick Mahomes,1.0,11.0
Justin,RB,Christian McCaffrey,1.0,2.0
Justin,RB,Ito Smith,,
Justin,RB,Miles Sanders,7.0,2.0
Justin,RB,D'Andre Swift,4.0,2.0
Justin,RB,Cam Akers,4.0,12.0
Justin,TE,George Kittle,2.0,7.0
Justin,TE,Dallas Goedert,,
Justin,WR,T.Y. Hilton,4.0,8.0
Justin,WR,Adam Thielen,3.0,2.0
Justin,WR,Corey Davis,,
Justin,WR,Keke Coutee,,
Justin,WR,Diontae Johnson,8.0,2.0
Mike,DEF,Chicago Bears,11.0,6.0
Mike,K,Mason Crosby,,
Mike,QB,Jared Goff,12.0,11.0
Mike,RB,Le'Veon Bell,2.0,6.0
Mike,RB,Leonard Fournette,5.0,11.0
Mike,RB,Rashaad Penny,,
Mike,RB,Nyheim Hines,,
Mike,RB,Josh Jacobs,1.0,3.0
Mike,RB,David Montgomery,6.0,3.0
Mike,TE,T.J. Hockenson,13.0,5.0
Mike,WR,Chris Godwin,5.0,3.0
Mike,WR,Kenny Golladay,2.0,3.0
Mike,WR,Calvin Ridley,3.0,3.0
Mike,WR,Antonio Brown,,
Mike,WR,Tee Higgins,,
Pat,DEF,Cleveland Browns,,
Pat,DEF,Green Bay Packers,,
Pat,K,Tyler Bass,,
Pat,QB,Baker Mayfield,,
Pat,QB,Tua Tagovailoa,,
Pat,RB,Rex Burkhead,,
Pat,RB,Adrian Peterson,11.0,11.0
Pat,RB,DeAndre Washington,,
Pat,RB,Wayne Gallman,,
Pat,RB,Devin Singletary,3.0,4.0
Pat,TE,Eric Ebron,,
Pat,WR,Sammy Watkins,11.0,7.0
Pat,WR,Odell Beckham,3.0,11.0
Pat,WR,DeVante Parker,6.0,2.0
Pat,WR,Jerry Jeudy,9.0,4.0
Pat,WR,A.J. Green,6.0,11.0
Rhodes,DEF,Los Angeles Chargers,10.0,3.0
Rhodes,DEF,Las Vegas Raiders,,
Rhodes,DEF,New England Patriots,12.0,9.0
Rhodes,K,Rodrigo Blankenship,,
Rhodes,QB,Kyler Murray,5.0,9.0
Rhodes,RB,Kareem Hunt,6.0,5.0
Rhodes,RB,James Robinson,,
Rhodes,TE,Jared Cook,10.0,6.0
Rhodes,TE,Robert Tonyan,,
Rhodes,WR,Robbie Chosen,15.0,9.0
Rhodes,WR,Cooper Kupp,3.0,9.0
Rhodes,WR,Christian Kirk,9.0,9.0
Rhodes,WR,DJ Chark,4.0,4.0
Rhodes,WR,Travis Fulgham,,
Rhodes,WR,Justin Jefferson,11.0,5.0
Stephen,DEF,Tampa Bay Buccaneers,,
Stephen,K,Jason Sanders,,
Stephen,QB,Ben Roethlisberger,,
Stephen,QB,Matthew Stafford,15.0,5.0
Stephen,RB,Carlos Hyde,14.0,8.0
Stephen,RB,Dalvin Cook,1.0,8.0
Stephen,RB,Chris Carson,2.0,8.0
Stephen,RB,Alexander Mattison,8.0,8.0
Stephen,RB,Benny Snell,,
Stephen,RB,Jonathan Taylor,3.0,8.0
Stephen,TE,Evan Engram,9.0,2.0
Stephen,WR,Tyler Boyd,7.0,8.0
Stephen,WR,JuJu Smith-Schuster,4.0,9.0
Stephen,WR,Emmanuel Sanders,9.0,5.0
Stephen,WR,Chase Claypool,,
